Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,ecommerce assistants,,ecommerce product photo workflow,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,ecommerce assistants,,ecommerce assistant product photos,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,ecommerce assistants,,shopify product photo workflow,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,ecommerce assistants,,shopify product listing assistant,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,ecommerce assistants,,ecommerce product photo workflow,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,ecommerce assistants,,ecommerce assistant product photos,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,ecommerce assistants,,shopify product photo workflow,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,product listing services,,product listing photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,product listing services,,product listing image editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,product listing services,,marketplace product photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,product listing services,,ecommerce product listing photos,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,product listing services,,product listing photo editing,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,product listing services,,product listing image editing,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,product listing services,,marketplace product photo editing,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,bulk product photo editing,,bulk product photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,bulk product photo editing,,batch product photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,bulk product photo editing,,bulk background removal product photos,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,bulk product photo editing,,product photo zip export,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,bulk product photo editing,,bulk product photo editing,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,bulk product photo editing,,batch product photo editing,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Agencies,,bulk product photo editing,,bulk background removal product photos,Phrase match,,,,,,,,
