Row Type,Action,Campaign,Negative keyword,Match type
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,job,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,jobs,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,hiring,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,career,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,salary,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,course,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,tutorial,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,free app,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,apk,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,cracked,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,passport photo,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,video background,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,background music,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,wallpaper,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,template,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Agencies,templates,Phrase match
