Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,,remove.bg alternative,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,,remove bg alternative,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,,remove.bg bulk background remover,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,,remove bg bulk background remover,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,,remove.bg for product photos,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,,remove.bg pricing alternative,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,,remove.bg alternative,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,,remove bg alternative,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,,remove.bg bulk,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,remove.bg alternative,,remove.bg product photos,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Photoroom alternative,,photoroom alternative,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Photoroom alternative,,photoroom for ecommerce,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Photoroom alternative,,photoroom product photos,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Photoroom alternative,,photoroom bulk background remover,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Photoroom alternative,,photoroom pricing alternative,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Photoroom alternative,,photoroom alternative,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Photoroom alternative,,photoroom for ecommerce,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Photoroom alternative,,photoroom product photos,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Photoroom alternative,,photoroom bulk background remover,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Pixelcut alternative,,pixelcut alternative,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Pixelcut alternative,,pixelcut product photos,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Pixelcut alternative,,pixelcut background remover alternative,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Pixelcut alternative,,pixelcut bulk background remover,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Pixelcut alternative,,pixelcut pricing alternative,Exact match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Pixelcut alternative,,pixelcut alternative,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Pixelcut alternative,,pixelcut product photos,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Pixelcut alternative,,pixelcut background remover,Phrase match,,,,,,,,
Keyword,Add,Enabled,,Search - BatchCutout - Alternatives,,Pixelcut alternative,,pixelcut bulk background remover,Phrase match,,,,,,,,
