Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,free,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,free app,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,tutorial,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,coupon,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,promo code,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,cracked,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,apk,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,job,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,hiring,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,wallpaper,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,video background,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,passport photo,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - Alternatives,,,,logo maker,Phrase match
