Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,product catalog cleanup,,product catalog background remover,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,product catalog cleanup,,product catalog photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,product catalog cleanup,,ecommerce catalog photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,product catalog cleanup,,catalog image background removal,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,product catalog cleanup,,product catalog background remover,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,product catalog cleanup,,product catalog photo editing,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,product catalog cleanup,,ecommerce catalog photo editing,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,supplier photo cleanup,,supplier product photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,supplier photo cleanup,,supplier image background removal,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,supplier photo cleanup,,clean supplier product photos,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,supplier photo cleanup,,batch supplier photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,supplier photo cleanup,,supplier product photo editing,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,supplier photo cleanup,,supplier image background removal,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,supplier photo cleanup,,clean supplier product photos,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,sku variant photos,,sku photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,sku variant photos,,product variant photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,sku variant photos,,batch catalog photo editing,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,sku variant photos,,product variant background removal,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,sku variant photos,,sku photo editing,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,sku variant photos,,product variant photo editing,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - EN - Catalogs,,sku variant photos,,batch catalog photo editing,Phrase match,,,,,,,,
