Row Type,Action,Campaign,Negative keyword,Match type
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,job,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,jobs,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,hiring,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,career,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,salary,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,course,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,tutorial,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,free app,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,apk,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,cracked,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,passport photo,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,video background,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,background music,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,wallpaper,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,template,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,templates,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,brochure,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,indesign,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,printing,Phrase match
Campaign negative keyword,Add,Search - BatchCutout - EN - Catalogs,pdf catalog,Phrase match
