Campaign,Ad group,Keyword,Match type,Status
Search - BatchCutout - Alternatives,,free,Phrase,Enabled
Search - BatchCutout - Alternatives,,free app,Phrase,Enabled
Search - BatchCutout - Alternatives,,tutorial,Phrase,Enabled
Search - BatchCutout - Alternatives,,coupon,Phrase,Enabled
Search - BatchCutout - Alternatives,,promo code,Phrase,Enabled
Search - BatchCutout - Alternatives,,cracked,Phrase,Enabled
Search - BatchCutout - Alternatives,,apk,Phrase,Enabled
Search - BatchCutout - Alternatives,,job,Phrase,Enabled
Search - BatchCutout - Alternatives,,hiring,Phrase,Enabled
Search - BatchCutout - Alternatives,,wallpaper,Phrase,Enabled
Search - BatchCutout - Alternatives,,video background,Phrase,Enabled
Search - BatchCutout - Alternatives,,passport photo,Phrase,Enabled
Search - BatchCutout - Alternatives,,logo maker,Phrase,Enabled
