Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,remove bg alternativa,,alternativa remove.bg,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,remove bg alternativa,,alternativa ao remove.bg,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,remove bg alternativa,,remove bg alternativa,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,remove bg alternativa,,remove.bg fotos produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,remove bg alternativa,,remove.bg em lote,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,remove bg alternativa,,remove.bg png transparente,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,remove bg alternativa,,alternativa remove.bg,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,remove bg alternativa,,alternativa ao remove.bg,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,remove bg alternativa,,remove.bg fotos produto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,photoroom alternativa,,alternativa photoroom,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,photoroom alternativa,,alternativa ao photoroom,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,photoroom alternativa,,photoroom ecommerce,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,photoroom alternativa,,photoroom fotos produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,photoroom alternativa,,photoroom remover fundo produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,photoroom alternativa,,photoroom fundo transparente,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,photoroom alternativa,,alternativa photoroom,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,photoroom alternativa,,alternativa ao photoroom,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,photoroom alternativa,,photoroom fotos produto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,pixelcut alternativa,,alternativa pixelcut,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,pixelcut alternativa,,alternativa ao pixelcut,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,pixelcut alternativa,,pixelcut fotos produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,pixelcut alternativa,,pixelcut remover fundo,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,pixelcut alternativa,,pixelcut background remover,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,pixelcut alternativa,,pixelcut png transparente,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,pixelcut alternativa,,alternativa pixelcut,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,pixelcut alternativa,,alternativa ao pixelcut,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,pixelcut alternativa,,pixelcut fotos produto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,canva alternativa,,alternativa canva remover fundo,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,canva alternativa,,alternativa ao canva remover fundo,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,canva alternativa,,canva remover fundo produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,canva alternativa,,canva fundo transparente produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,canva alternativa,,canva remover fundo em lote,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,canva alternativa,,alternativa canva remover fundo,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,canva alternativa,,alternativa ao canva remover fundo,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Alternatives,,canva alternativa,,canva remover fundo produto,Phrase match,,,,,,,,
