Row Type,Action,Status,Campaign ID,Campaign,Ad group ID,Ad group,Criterion ID,Keyword,Match type
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,gratis,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,grátis,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,tutorial,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,cupao,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,cupom,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,codigo promocional,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,código promocional,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,crackeado,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,apk,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,emprego,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,contratar,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,papel de parede,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,fundo de video,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,passaporte,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,criador de logo,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,apresentacao,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,apresentação,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,curriculo,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,currículo,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,template,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,templates,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,modelo,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,poster,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,flyer,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,fonte,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,design de logo,Phrase match
Negative keyword,Add,Enabled,,Search - BatchCutout - PT - Alternatives,,,,curso,Phrase match
