Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,remove bg alternativa,,alternativa remove.bg,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,remove bg alternativa,,alternativa a remove.bg,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,remove bg alternativa,,remove bg alternativa,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,remove bg alternativa,,remove.bg fotos producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,remove bg alternativa,,remove.bg por lotes,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,remove bg alternativa,,alternativa remove.bg,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,remove bg alternativa,,alternativa a remove.bg,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,remove bg alternativa,,remove.bg fotos producto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,photoroom alternativa,,alternativa photoroom,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,photoroom alternativa,,alternativa a photoroom,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,photoroom alternativa,,photoroom ecommerce,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,photoroom alternativa,,photoroom fotos producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,photoroom alternativa,,photoroom quitar fondo producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,photoroom alternativa,,alternativa photoroom,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,photoroom alternativa,,alternativa a photoroom,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,photoroom alternativa,,photoroom fotos producto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,pixelcut alternativa,,alternativa pixelcut,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,pixelcut alternativa,,alternativa a pixelcut,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,pixelcut alternativa,,pixelcut fotos producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,pixelcut alternativa,,pixelcut quitar fondo,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,pixelcut alternativa,,pixelcut background remover,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,pixelcut alternativa,,alternativa pixelcut,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,pixelcut alternativa,,alternativa a pixelcut,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,pixelcut alternativa,,pixelcut fotos producto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,canva alternativa,,alternativa canva quitar fondo,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,canva alternativa,,alternativa a canva quitar fondo,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,canva alternativa,,canva quitar fondo producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,canva alternativa,,canva eliminar fondo producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,canva alternativa,,canva fondo transparente producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,canva alternativa,,alternativa canva quitar fondo,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,canva alternativa,,alternativa a canva quitar fondo,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Alternatives,,canva alternativa,,canva quitar fondo producto,Phrase match,,,,,,,,
