Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,crack,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,torrent,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,apk,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,gratis,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,tutorial,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,curso,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,cupon,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,descuento,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,plantilla,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,plantillas,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,logo,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,presentacion,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,curriculum,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,foto pasaporte,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,dni,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,wallpaper,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,fondo pantalla,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,video fondo,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Alternatives,,,,editor video,Phrase match
