Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,quitar fondo fotos producto,,quitar fondo fotos producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,quitar fondo fotos producto,,quitar fondo de fotos de producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,quitar fondo fotos producto,,eliminar fondo fotos producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,quitar fondo fotos producto,,eliminar fondo de fotos de producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,quitar fondo fotos producto,,remover fondo fotos producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,quitar fondo fotos producto,,quitar fondo imagen producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,quitar fondo fotos producto,,quitar fondo fotos producto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,quitar fondo fotos producto,,quitar fondo de fotos de producto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,quitar fondo fotos producto,,eliminar fondo fotos producto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,quitar fondo fotos producto,,remover fondo fotos producto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,quitar fondo lote,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,quitar fondo imagenes en lote,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,removedor de fondos por lotes,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,remover fondo en lote,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,quitar fondo varias imagenes,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,png transparente producto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,foto producto png transparente,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,quitar fondo lote,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,quitar fondo imagenes en lote,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,removedor de fondos por lotes,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,quitar fondo varias imagenes,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - ES - Producto Lote,,removedor fondos lote,,png transparente producto,Phrase match,,,,,,,,
