Row Type,Action,Keyword status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Negative keyword,Type
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,crack,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,torrent,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,apk,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,curso photoshop,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,gimp,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,wallpaper,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,fondo pantalla,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,fondos de pantalla,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,foto pasaporte,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,dni,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,curriculum,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,logo,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,plantilla,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,presentacion,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,video fondo,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,editor video,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,app android,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,canva,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,remove.bg,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,remove bg,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,photoroom,Phrase match
Negative keyword,Add,,Campaign,,Search - BatchCutout - ES - Producto Lote,,,,pixelcut,Phrase match
