Row Type,Action,Keyword status,Campaign ID,Campaign,Ad group ID,Ad group,Keyword ID,Keyword,Type,Label,Default max. CPC,Max. CPV,Final URL,Mobile final URL,Final URL suffix,Tracking template,Custom parameter
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,remover fundo branco produto,,remover fundo branco produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,remover fundo branco produto,,remover fundo branco foto produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,remover fundo branco produto,,remover fundo branco de produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,remover fundo branco produto,,tirar fundo branco produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,remover fundo branco produto,,remover fundo branco produto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,remover fundo branco produto,,remover fundo branco foto produto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,remover fundo branco produto,,tirar fundo branco produto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,png transparente produto,,png transparente produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,png transparente produto,,foto produto png transparente,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,png transparente produto,,criar png transparente produto,Exact match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,png transparente produto,,png transparente produto,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,png transparente produto,,foto produto png transparente,Phrase match,,,,,,,,
Keyword,Add,Paused,,Search - BatchCutout - PT - Fundo Branco,,png transparente produto,,criar png transparente produto,Phrase match,,,,,,,,
